PEDIDOS CAMISETAS 2025 C O  - V B																								
CONGREGAÇÃO	PP	P	M	G	GG	EXTG	2 anos	10 anos		TOTAL														
												7	Cong. Torre Forte	0	1	3	2	1					7	
												8	Cong. Tribo de Judá	0	2	3	2						7	
												9	Cong. Rosa de Sarom	0	1	8	6	1					16	
												10	Cong. Ebenezer	0	0	1	1						2	
												11	Cong. Lirio dos Vales	0	1	3	1						5	
												12	Cong. Vale de Bençãos	0	3	6	9						18	
												13	Cong. Jerusalém	0	1	1	1	1					4	
												14	Cong. Monte Siao (Adriana)	0	0	0	0	1					1	
												15	Cong. Novas de Paz (Sirley)				1	0					1	
												16											0	
												17											0	
												18											0	
												19											0	
												20											0	
													TOTAL	0	26	68	56	12	3	0	0	0	165	
